1,Alex Abrines\abrinal01,SG,25,OKC,31,2,588,56,157,.357,41,127,.323,15,30,.500,.487,12,13,.923,5,43,48,20,17,6,14,53,165
2,Quincy Acy\acyqu01,PF,28,PHO,10,0,123,4,18,.222,2,15,.133,2,3,.667,.278,7,10,.700,3,22,25,8,1,4,4,24,17
3,Jaylen Adams\adamsja01,PG,22,ATL,10,0,45,4,12,.333,3,7,.429,1,5,.200,.458,2,2,1.000,1,3,4,6,3,1,2,4,13
4,Steven Adams\adamsst01,C,25,OKC,55,55,1866,345,568,.607,0,1,.000,345,567,.608,.607,120,218,.550,248,273,521,91,86,42,89,139,810
5,Bam Adebayo\adebaba01,C,21,MIA,56,6,1236,164,292,.562,1,9,.111,163,283,.576,.563,110,153,.719,115,259,374,110,42,42,80,140,439
6,Deng Adel\adelde01,SF,21,CLE,12,3,158,9,30,.300,5,20,.250,4,10,.400,.383,2,2,1.000,2,11,13,4,1,4,5,11,25
7,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,7,0,22,3,10,.300,0,4,.000,3,6,.500,.300,1,2,.500,1,3,4,6,2,0,2,4,7
8,LaMarcus Aldridge\aldrila01,C,33,SAS,58,58,1896,476,935,.509,5,23,.217,471,912,.516,.512,261,309,.845,182,340,522,148,30,70,109,129,1218
9,Rawle Alkins\alkinra01,SG,21,CHI,3,0,6,1,4,.250,1,1,1.000,0,3,.000,.375,0,0,,3,0,3,2,1,0,0,1,3
10,Grayson Allen\allengr01,SG,23,UTA,28,1,276,34,109,.312,19,69,.275,15,40,.375,.399,27,36,.750,1,10,11,17,4,3,16,30,114
11,Jarrett Allen\allenja01,C,20,BRK,57,57,1538,246,430,.572,6,37,.162,240,393,.611,.579,141,191,.738,147,345,492,87,33,91,78,128,639
12,Kadeem Allen\allenka01,SG,26,NYK,10,1,225,37,76,.487,8,16,.500,29,60,.483,.539,19,26,.731,5,24,29,45,8,1,11,26,101
13,Al-Farouq Aminu\aminual01,PF,28,POR,57,57,1655,178,409,.435,73,204,.358,105,205,.512,.524,107,126,.849,86,364,450,75,50,21,46,110,536
14,Justin Anderson\anderju01,SF,25,ATL,30,0,243,32,84,.381,8,40,.200,24,44,.545,.429,16,21,.762,11,33,44,12,11,7,13,28,88
15,Kyle Anderson\anderky01,SF,25,MEM,43,40,1281,150,276,.543,9,34,.265,141,242,.583,.560,37,64,.578,48,203,251,128,54,37,58,112,346
16,Ryan Anderson\anderry01,PF,30,TOT,16,8,280,19,60,.317,7,34,.206,12,26,.462,.375,11,14,.786,14,31,45,18,3,1,12,23,56
16,Ryan Anderson\anderry01,PF,30,PHO,15,8,278,19,60,.317,7,34,.206,12,26,.462,.375,11,14,.786,14,31,45,17,3,1,12,23,56
16,Ryan Anderson\anderry01,PF,30,MIA,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0
17,Ike Anigbogu\anigbik01,C,20,IND,3,0,6,0,3,.000,0,0,,0,3,.000,.000,0,0,,1,2,3,1,0,1,1,0,0
18,Giannis Antetokounmpo\antetgi01,PF,24,MIL,53,53,1757,531,914,.581,29,130,.223,502,784,.640,.597,349,487,.717,124,549,673,317,75,76,204,180,1440
19,Carmelo Anthony\anthoca01,PF,34,HOU,10,2,294,49,121,.405,21,64,.328,28,57,.491,.492,15,22,.682,9,45,54,5,4,7,8,32,134
20,OG Anunoby\anunoog01,SF,21,TOR,48,5,976,136,307,.443,52,156,.333,84,151,.556,.528,19,42,.452,37,110,147,33,32,11,34,106,343
21,Ryan Arcidiacono\arcidry01,PG,24,CHI,57,25,1402,107,258,.415,61,169,.361,46,89,.517,.533,47,52,.904,14,122,136,204,54,2,46,121,322
22,Trevor Ariza\arizatr01,SF,33,TOT,54,54,1910,235,592,.397,118,352,.335,117,240,.488,.497,100,124,.806,35,266,301,207,81,13,88,104,688
22,Trevor Ariza\arizatr01,SF,33,PHO,26,26,884,86,227,.379,50,139,.360,36,88,.409,.489,36,43,.837,16,129,145,87,38,8,39,44,258
22,Trevor Ariza\arizatr01,SF,33,WAS,28,28,1026,149,365,.408,68,213,.319,81,152,.533,.501,64,81,.790,19,137,156,120,43,5,49,60,430
23,D.J. Augustin\augusdj01,PG,31,ORL,58,58,1605,211,452,.467,92,216,.426,119,236,.504,.569,145,166,.873,28,97,125,284,33,1,87,82,659
24,Deandre Ayton\aytonde01,C,20,PHO,53,52,1639,386,657,.588,0,4,.000,386,653,.591,.588,105,136,.772,166,390,556,104,42,49,96,151,877
25,Dwayne Bacon\bacondw01,SG,23,CHO,25,0,265,44,84,.524,13,25,.520,31,59,.525,.601,10,12,.833,3,36,39,17,3,1,12,28,111
26,Marvin Bagley\baglema01,PF,19,SAC,43,1,1040,221,429,.515,14,55,.255,207,374,.553,.531,115,168,.685,100,196,296,41,23,42,70,89,571
27,Ron Baker\bakerro01,SG,25,TOT,15,0,152,4,20,.200,1,13,.077,3,7,.429,.225,5,6,.833,1,10,11,15,6,1,5,18,14
27,Ron Baker\bakerro01,SG,25,NYK,11,0,107,4,16,.250,1,9,.111,3,7,.429,.281,5,6,.833,1,6,7,13,5,0,3,16,14
27,Ron Baker\bakerro01,SG,25,WAS,4,0,45,0,4,.000,0,4,.000,0,0,,.000,0,0,,0,4,4,2,1,1,2,2,0
28,Wade Baldwin\baldwwa01,PG,22,POR,16,0,94,10,33,.303,2,9,.222,8,24,.333,.333,8,11,.727,2,13,15,12,1,2,14,11,30
29,Lonzo Ball\balllo01,PG,21,LAL,47,45,1423,185,456,.406,75,228,.329,110,228,.482,.488,20,48,.417,54,197,251,255,69,19,103,114,465
30,Mohamed Bamba\bambamo01,C,20,ORL,47,1,766,117,243,.481,21,70,.300,96,173,.555,.525,37,63,.587,64,169,233,39,13,64,43,102,292
31,J.J. Barea\bareajo01,PG,34,DAL,38,0,752,161,385,.418,38,128,.297,123,257,.479,.468,55,78,.705,13,82,95,211,22,1,72,50,415
32,Harrison Barnes\barneha02,PF-SF,26,TOT,52,52,1692,303,754,.402,127,331,.384,176,423,.416,.486,173,206,.840,40,189,229,71,37,11,73,85,906
32,Harrison Barnes\barneha02,PF,26,DAL,49,49,1584,290,717,.404,121,311,.389,169,406,.416,.489,165,198,.833,36,171,207,62,33,11,68,79,866
32,Harrison Barnes\barneha02,SF,26,SAC,3,3,108,13,37,.351,6,20,.300,7,17,.412,.432,8,8,1.000,4,18,22,9,4,0,5,6,40
33,Will Barton\bartowi01,SG,28,DEN,18,13,479,79,193,.409,28,78,.359,51,115,.443,.482,31,39,.795,17,63,80,62,5,10,27,36,217
34,Keita Bates-Diop\bateske01,SF,23,MIN,6,0,34,3,11,.273,0,5,.000,3,6,.500,.273,0,2,.000,0,6,6,0,0,1,1,2,6
